cardFull;artist;scarcity;serial;priceETH;priceEUR;date
so-la-lune-season-1-platinium;So La Lune;Platinium;227;0,06;70,346;27/11/2022 20:23:13
kerchak-season-1-platinium;Kerchak;Platinium;60;0,059;69,174;27/11/2022 17:25:08
deen-burbigo-season-1-platinium;Deen Burbigo;Platinium;104;0,05;58,622;27/11/2022 17:01:13
bigflo-season-1-common;Bigflo;Common;19;0,029;34,001;27/11/2022 16:45:15
zinee-season-1-halloween;Zinée;Halloween;48;0,018;21,104;27/11/2022 16:45:13
winnterzuko-season-1-halloween;Winnterzuko;Halloween;195;0,003;3,517;27/11/2022 15:44:10
slimka-season-1-platinium;Slimka;Platinium;144;0,03;35,173;27/11/2022 15:18:13
benjamin-epps-season-1-common;Benjamin Epps;Common;158;0,007;8,207;27/11/2022 14:20:15
bigflo-season-1-common;Bigflo;Common;50;0,018;21,104;27/11/2022 13:26:13
winnterzuko-season-1-halloween;Winnterzuko;Halloween;206;0,003;3,517;27/11/2022 13:25:15
benjamin-epps-season-1-platinium;Benjamin Epps;Platinium;202;0,04;46,898;27/11/2022 12:12:14
azur-season-1-common;Azur;Common;169;0,006;6,53;27/11/2022 11:36:14
skuna-season-1-common;Skuna;Common;145;0,006;7,035;27/11/2022 11:21:16
so-la-lune-season-1-common;So La Lune;Common;138;0,006;7,504;27/11/2022 09:02:13
moji-x-sboy-season-1-common;Moji x Sboy;Common;29;0,015;17,587;27/11/2022 04:14:13
jmks-season-1-common;JMK$;Common;20;0,02;23,449;27/11/2022 04:04:13
thahomey-season-1-common;thaHomey;Common;71;0,016;18,759;27/11/2022 03:03:13
youv-dee-season-1-halloween;Youv Dee;Halloween;18;0,02;23,449;27/11/2022 02:30:14
caballero-season-1-halloween;Caballero;Halloween;86;0,015;17,587;27/11/2022 02:14:13
zinee-season-1-halloween;Zinée;Halloween;195;0,006;7,152;27/11/2022 01:58:13
deen-burbigo-season-1-common;Deen Burbigo;Common;235;0,012;14,398;27/11/2022 01:36:13
youv-dee-season-1-halloween;Youv Dee;Halloween;142;0,009;10,435;27/11/2022 01:26:13
kerchak-season-1-common;Kerchak;Common;104;0,013;15,124;27/11/2022 01:18:14
moji-x-sboy-season-1-platinium;Moji x Sboy;Platinium;196;0,05;58,622;26/11/2022 23:54:16
winnterzuko-season-1-halloween;Winnterzuko;Halloween;202;0,004;4,15;26/11/2022 23:02:15
kerchak-season-1-platinium;Kerchak;Platinium;138;0,061;71,636;26/11/2022 22:30:10
zinee-season-1-common;Zinée;Common;7;0,043;50,415;26/11/2022 22:17:14
bigflo-season-1-common;Bigflo;Common;239;0,004;4,69;26/11/2022 21:47:18
le-reglement-season-1-common;Le Règlement;Common;217;0,01;11,724;26/11/2022 21:26:14
youv-dee-season-1-common;Youv Dee;Common;196;0,006;6,554;26/11/2022 21:21:13
deen-burbigo-season-1-common;Deen Burbigo;Common;1;0,173;202,832;26/11/2022 21:05:22
caballero-season-1-halloween;Caballero;Halloween;201;0,008;9,38;26/11/2022 20:50:15
